Category ,Product ID,Products,Sub-Category
Technology,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Phones
Office Supplies,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Binders
Office Supplies,OFF-LA-10002762,Avery 485,Labels
Furniture,FUR-FU-10001706,Longer-Life Soft White Bulbs,Furnishings
Furniture,FUR-CH-10003061,"Global Leather Task Chair, Black",Chairs
Office Supplies,OFF-FA-10000304,Advantus Push Pins,Fasteners
Technology,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Phones
Office Supplies,OFF-ST-10000604,Home/Office Personal File Carts,Storage
Office Supplies,OFF-PA-10001569,Xerox 232,Paper
Furniture,FUR-CH-10003968,Novimex Turbo Task Chair,Chairs
Office Supplies,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Paper
Technology,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Accessories
Office Supplies,OFF-BI-10001460,Plastic Binding Combs,Binders
Office Supplies,OFF-AR-10001868,Prang Dustless Chalk Sticks,Art
Technology,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Accessories
Office Supplies,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Binders
Office Supplies,OFF-PA-10003892,Xerox 1943,Paper
Furniture,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Furnishings
Furniture,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Chairs
Office Supplies,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Art
Technology,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Phones
Office Supplies,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Paper
Office Supplies,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Binders
Office Supplies,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Paper
Furniture,FUR-CH-10000513,High-Back Leather Manager's Chair,Chairs
Furniture,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furnishings
Office Supplies,OFF-ST-10004123,Safco Industrial Wire Shelving System,Storage
Office Supplies,OFF-BI-10004182,Economy Binders,Binders
Furniture,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furnishings
Office Supplies,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Storage
Furniture,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furnishings
Office Supplies,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances
Office Supplies,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Binders
Office Supplies,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Art
Office Supplies,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",Storage
Office Supplies,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Envelopes
Office Supplies,OFF-ST-10003656,Safco Industrial Wire Shelving,Storage
Furniture,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Chairs
Technology,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Accessories
Office Supplies,OFF-LA-10000134,Avery 511,Labels
Office Supplies,OFF-ST-10003442,Eldon Portable Mobile Manager,Storage
Office Supplies,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,Art
Technology,TEC-PH-10004093,Panasonic Kx-TS550,Phones
Office Supplies,OFF-PA-10000304,Xerox 1995,Paper
Office Supplies,OFF-PA-10003177,Xerox 1999,Paper
Furniture,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Furnishings
Office Supplies,OFF-BI-10002852,Ibico Standard Transparent Covers,Binders
Office Supplies,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,Binders
Furniture,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furnishings
Office Supplies,OFF-BI-10001721,Trimflex Flexible Post Binders,Binders
Office Supplies,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Appliances
Office Supplies,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Paper
Technology,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Accessories
Office Supplies,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Binders
Office Supplies,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Paper
Technology,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,Accessories
Furniture,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furnishings
Office Supplies,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders
Technology,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Accessories
Technology,TEC-PH-10002844,Speck Products Candyshell Flip Case,Phones
Office Supplies,OFF-AR-10000390,Newell Chalk Holder,Art
Technology,TEC-AC-10000844,Logitech Gaming G510s - Keyboard,Accessories
Furniture,FUR-FU-10001934,Magnifier Swing Arm Lamp,Furnishings
Office Supplies,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Art
Office Supplies,OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",Binders
Office Supplies,OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",Fasteners
Office Supplies,OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Envelopes
Office Supplies,OFF-PA-10004965,Xerox 1921,Paper
Office Supplies,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Envelopes
Furniture,FUR-TA-10001768,Hon Racetrack Conference Tables,Tables
Office Supplies,OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Binders
Furniture,FUR-FU-10002157,Artistic Insta-Plaque,Furnishings
Office Supplies,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Binders
Office Supplies,OFF-ST-10000777,"Companion Letter/Legal File, Black",Storage
Office Supplies,OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,Envelopes
Technology,TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Phones
Furniture,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Chairs
Furniture,FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Tables
Office Supplies,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Binders
Office Supplies,OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",Storage
Furniture,FUR-CH-10001146,"Global Task Chair, Black",Chairs
Furniture,FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furnishings
Technology,TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Phones
Office Supplies,OFF-PA-10002377,Xerox 1916,Paper
Office Supplies,OFF-FA-10002780,Staples,Fasteners
Office Supplies,OFF-PA-10001804,Xerox 195,Paper
Office Supplies,OFF-PA-10001736,Xerox 1880,Paper
Office Supplies,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",Art
Office Supplies,OFF-FA-10002988,Ideal Clamps,Fasteners
Office Supplies,OFF-BI-10004781,GBC Wire Binding Strips,Binders
Office Supplies,OFF-SU-10001218,Fiskars Softgrip Scissors,Supplies
Furniture,FUR-FU-10001706,Longer-Life Soft White Bulbs,Furnishings
Furniture,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furnishings
Office Supplies,OFF-AR-10000940,Newell 343,Art
Office Supplies,OFF-EN-10004030,Convenience Packs of Business Envelopes,Envelopes
Office Supplies,OFF-PA-10004327,Xerox 1911,Paper
Office Supplies,OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Appliances
Office Supplies,OFF-ST-10003656,Safco Industrial Wire Shelving,Storage
Furniture,FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",Furnishings
Technology,TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,Phones
Technology,TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,Phones
Furniture,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs
Office Supplies,OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,Binders
Office Supplies,OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Appliances
Technology,TEC-PH-10001254,Jabra BIZ 2300 Duo QD Duo Corded Headset,Phones
Office Supplies,OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,Paper
Office Supplies,OFF-PA-10002254,Xerox 1883,Paper
Office Supplies,OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",Storage
Office Supplies,OFF-AR-10001547,Newell 311,Art
Furniture,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Chairs
Office Supplies,OFF-LA-10002475,Avery 519,Labels
Technology,TEC-PH-10004536,Avaya 5420 Digital phone,Phones
Office Supplies,OFF-PA-10002751,Xerox 1920,Paper
Technology,TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,Accessories
Office Supplies,OFF-EN-10001990,Staple envelope,Envelopes
Office Supplies,OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,Binders
Office Supplies,OFF-AR-10004441,BIC Brite Liner Highlighters,Art
Technology,TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Machines
Office Supplies,OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,Storage
Furniture,FUR-CH-10004287,SAFCO Arco Folding Chair,Chairs
Office Supplies,OFF-AR-10002656,Sanford Liquid Accent Highlighters,Art
Office Supplies,OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,Appliances
Technology,TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,Phones
Office Supplies,OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Paper
Office Supplies,OFF-PA-10001144,Xerox 1913,Paper
Furniture,FUR-CH-10003817,"Global Value Steno Chair, Gray",Chairs
Office Supplies,OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Appliances
Office Supplies,OFF-LA-10003148,Avery 51,Labels
Office Supplies,OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Appliances
Furniture,FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Chairs
Office Supplies,OFF-SU-10002189,Acme Rosewood Handle Letter Opener,Supplies
Office Supplies,OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Art
Office Supplies,OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",Storage
Technology,TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Accessories
Technology,TEC-PH-10003273,AT&T TR1909W,Phones
Technology,TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),Phones
Technology,TEC-AC-10002345,HP Standard 104 key PS/2 Keyboard,Accessories
Office Supplies,OFF-BI-10001890,Avery Poly Binder Pockets,Binders
Technology,TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Accessories
Office Supplies,OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",Storage
Office Supplies,OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,Paper
Furniture,FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Bookcases
Technology,TEC-PH-10001552,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Phones
Office Supplies,OFF-PA-10000061,Xerox 205,Paper
Furniture,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases
Office Supplies,OFF-AR-10003514,4009 Highlighters by Sanford,Art
Office Supplies,OFF-EN-10001509,Poly String Tie Envelopes,Envelopes
Office Supplies,OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Art
Office Supplies,OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Art
Office Supplies,OFF-ST-10001414,Decoflex Hanging Personal Folder File,Storage
Office Supplies,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Binders
Office Supplies,OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Paper
Office Supplies,OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Paper
Furniture,FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Tables
Office Supplies,OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Appliances
Office Supplies,OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,Appliances
Furniture,FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",Furnishings
Technology,TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital phone,Phones
Office Supplies,OFF-ST-10000642,"Tennsco Lockers, Gray",Storage
Technology,TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Phones
Office Supplies,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Binders
Office Supplies,OFF-FA-10000134,"Advantus Push Pins, Aluminum Head",Fasteners
Office Supplies,OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Storage
Technology,TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,Accessories
Office Supplies,OFF-LA-10004544,Avery 505,Labels
Furniture,FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Bookcases
Technology,TEC-PH-10002844,Speck Products Candyshell Flip Case,Phones
Technology,TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,Machines
Technology,TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Accessories
Office Supplies,OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",Storage
Technology,TEC-PH-10002563,Adtran 1202752G1,Phones
Office Supplies,OFF-FA-10000585,OIC Bulk Pack Metal Binder Clips,Fasteners
Office Supplies,OFF-PA-10004000,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Paper
Office Supplies,OFF-BI-10002852,Ibico Standard Transparent Covers,Binders
Furniture,FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furnishings
Technology,TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,Machines
Office Supplies,OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Art
Office Supplies,OFF-AR-10001026,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Art
Furniture,FUR-TA-10003748,Bevis 36 x 72 Conference Tables,Tables
Office Supplies,OFF-ST-10002485,Rogers Deluxe File Chest,Storage
Furniture,FUR-CH-10004860,Global Low Back Tilter Chair,Chairs
Furniture,FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",Chairs
Office Supplies,OFF-BI-10001679,GBC Instant Index System for Binding Systems,Binders
Furniture,FUR-TA-10001705,Bush Advantage Collection Round Conference Table,Tables
Furniture,FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Tables
Office Supplies,OFF-BI-10001679,GBC Instant Index System for Binding Systems,Binders
Furniture,FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furnishings
Technology,TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Accessories
Office Supplies,OFF-PA-10002479,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper
Office Supplies,OFF-PA-10003349,Xerox 1957,Paper
Furniture,FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furnishings
Furniture,FUR-FU-10004351,Staple-based wall hangings,Furnishings
Technology,TEC-PH-10000011,PureGear Roll-On Screen Protector,Phones
Furniture,FUR-TA-10002607,KI Conference Tables,Tables
Furniture,FUR-FU-10002505,Eldon 100 Class Desk Accessories,Furnishings
Office Supplies,OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Art
Furniture,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Chairs
Office Supplies,OFF-ST-10002276,Safco Steel Mobile File Cart,Storage
Office Supplies,OFF-PA-10004082,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Paper
Office Supplies,OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Appliances
Office Supplies,OFF-PA-10000061,Xerox 205,Paper
Furniture,FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Chairs
Office Supplies,OFF-PA-10004569,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",Paper
Technology,TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Accessories
Office Supplies,OFF-ST-10001228,"Fellowes Personal Hanging Folder Files, Navy",Storage
Office Supplies,OFF-EN-10003296,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Envelopes
Furniture,FUR-FU-10002505,Eldon 100 Class Desk Accessories,Furnishings
Office Supplies,OFF-ST-10004804,"Belkin 19"" Vented Equipment Shelf, Black",Storage
Office Supplies,OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",Storage
Technology,TEC-PH-10001580,Logitech Mobile Speakerphone P710e - speaker phone,Phones
Technology,TEC-AC-10000290,Sabrent 4-Port USB 2.0 Hub,Accessories
Office Supplies,OFF-ST-10002790,Safco Industrial Shelving,Storage
Office Supplies,OFF-BI-10003460,Acco 3-Hole Punch,Binders
Office Supplies,OFF-AP-10002203,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Appliances
Technology,TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Machines
Technology,TEC-MA-10003353,Xerox WorkCentre 6505DN Laser Multifunction Printer,Machines
Technology,TEC-PH-10001433,Cisco Small Business SPA 502G VoIP phone,Phones
Technology,TEC-AC-10004469,Microsoft Sculpt Comfort Mouse,Accessories
Office Supplies,OFF-AR-10003602,"Quartet Omega Colored Chalk, 12/Pack",Art
Office Supplies,OFF-FA-10003472,Bagged Rubber Bands,Fasteners
Office Supplies,OFF-ST-10004180,Safco Commercial Shelving,Storage
Office Supplies,OFF-EN-10004386,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Envelopes
Office Supplies,OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,Storage
Technology,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Accessories
Furniture,FUR-FU-10003274,Regeneration Desk Collection,Furnishings
Office Supplies,OFF-BI-10002557,Presstex Flexible Ring Binders,Binders
Office Supplies,OFF-PA-10002615,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Paper
Office Supplies,OFF-AR-10001427,Newell 330,Art
Office Supplies,OFF-PA-10000673,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",Paper
Office Supplies,OFF-PA-10004470,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Paper
Office Supplies,OFF-ST-10000876,Eldon Simplefile Box Office,Storage
Office Supplies,OFF-LA-10002043,Avery 489,Labels
Office Supplies,OFF-BI-10004967,Round Ring Binders,Binders
Technology,TEC-PH-10001760,Bose SoundLink Bluetooth Speaker,Phones
Furniture,FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",Tables
Office Supplies,OFF-PA-10000474,Easy-staple paper,Paper
Technology,TEC-AC-10001956,Microsoft Arc Touch Mouse,Accessories
Office Supplies,OFF-PA-10004100,Xerox 216,Paper
Office Supplies,OFF-BI-10000778,GBC VeloBinder Electric Binding Machine,Binders
Office Supplies,OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Appliances
Office Supplies,OFF-SU-10000646,Premier Automatic Letter Opener,Supplies
Office Supplies,OFF-FA-10002983,Advantus SlideClip Paper Clips,Fasteners
Office Supplies,OFF-LA-10004689,Avery 512,Labels
Technology,TEC-AC-10002001,Logitech Wireless Gaming Headset G930,Accessories
Furniture,FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Bookcases
Furniture,FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Furnishings
Furniture,FUR-CH-10001891,Global Deluxe Office Fabric Chairs,Chairs
Furniture,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furnishings
Office Supplies,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,Binders
Office Supplies,OFF-FA-10004854,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",Fasteners
Office Supplies,OFF-PA-10002105,Xerox 223,Paper
Office Supplies,OFF-ST-10002756,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Storage
Office Supplies,OFF-PA-10004243,Xerox 1939,Paper
Furniture,FUR-FU-10001861,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",Furnishings
Office Supplies,OFF-BI-10002706,Avery Premier Heavy-Duty Binder with Round Locking Rings,Binders
Furniture,FUR-TA-10002533,BPI Conference Tables,Tables
Furniture,FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Furnishings
Office Supplies,OFF-AR-10003651,Newell 350,Art
Office Supplies,OFF-BI-10001072,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",Binders
Office Supplies,OFF-AR-10002135,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Art
Office Supplies,OFF-AR-10002804,Faber Castell Col-Erase Pencils,Art
Furniture,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furnishings
Furniture,FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Chairs
Furniture,FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furnishings
Office Supplies,OFF-LA-10000634,Avery 509,Labels
Furniture,FUR-FU-10001588,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",Furnishings
Technology,TEC-PH-10002398,AT&T 1070 Corded Phone,Phones
Office Supplies,OFF-PA-10001937,Xerox 21,Paper
Office Supplies,OFF-AR-10003373,"Boston School Pro Electric Pencil Sharpener, 1670",Art
Furniture,FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Chairs
